Label,x1,Time,rawLat,latDir,rawLong,longDir,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
$PUBX,00,144056.64,4218.27695,N,08300.29661,W,158.445,D3,0.46,0.73,45.063,155.20,-0.004,,0.68,1.01,0.63,17,0,0*5C
$PUBX,00,144056.70,4218.27661,N,08300.29641,W,158.467,D3,0.46,0.73,45.059,155.62,-0.021,,0.66,1.00,0.63,17,0,0*57
$PUBX,00,144056.75,4218.27628,N,08300.29619,W,158.418,D3,0.46,0.73,44.521,155.21,0.014,,0.66,1.00,0.63,17,0,0*7D
$PUBX,00,144056.81,4218.27594,N,08300.29597,W,158.412,D3,0.46,0.73,44.521,154.65,0.015,,0.66,1.00,0.63,17,0,0*7D
$PUBX,00,144056.86,4218.27560,N,08300.29575,W,158.400,D3,0.46,0.73,44.842,154.62,0.019,,0.66,1.00,0.63,17,0,0*7D
$PUBX,00,144056.92,4218.27527,N,08300.29554,W,158.406,D3,0.46,0.73,44.334,154.57,0.010,,0.66,1.00,0.63,17,0,0*7B
$PUBX,00,144056.98,4218.27494,N,08300.29530,W,158.394,D3,0.46,0.73,44.437,153.32,0.015,,0.66,1.00,0.63,17,0,0*73
$PUBX,00,144057.03,4218.27462,N,08300.29506,W,158.380,D3,0.46,0.73,44.326,152.73,0.027,,0.66,1.00,0.63,17,0,0*7B
$PUBX,00,144057.09,4218.27428,N,08300.29483,W,158.396,D3,0.46,0.73,44.634,153.01,0.017,,0.66,1.00,0.63,17,0,0*75
$PUBX,00,144057.14,4218.27394,N,08300.29460,W,158.385,D3,0.46,0.73,44.596,153.12,0.025,,0.66,1.00,0.63,17,0,0*7E
$PUBX,00,144057.26,4218.27327,N,08300.29415,W,158.336,D3,0.47,0.74,44.219,153.55,0.062,,0.68,1.01,0.63,17,0,0*74
$PUBX,00,144057.31,4218.27293,N,08300.29392,W,158.309,D3,0.47,0.74,44.709,153.44,0.080,,0.66,1.00,0.63,17,0,0*7F
$PUBX,00,144057.37,4218.27260,N,08300.29368,W,158.273,D3,0.47,0.74,44.553,153.07,0.103,,0.66,1.00,0.63,17,0,0*7C
$PUBX,00,144057.42,4218.27225,N,08300.29346,W,158.215,D3,0.47,0.74,44.598,153.69,0.145,,0.66,1.00,0.63,17,0,0*7E
$PUBX,00,144057.48,4218.27189,N,08300.29327,W,158.201,D3,0.47,0.74,45.030,155.50,0.149,,0.66,1.00,0.63,17,0,0*75
$PUBX,00,144057.54,4218.27153,N,08300.29307,W,158.176,D3,0.47,0.74,45.419,156.15,0.158,,0.66,1.00,0.63,17,0,0*73
$PUBX,00,144057.59,4218.27115,N,08300.29288,W,158.189,D3,0.47,0.74,46.044,157.15,0.135,,0.66,1.00,0.63,17,0,0*7F
$PUBX,00,144057.65,4218.27081,N,08300.29269,W,158.163,D3,0.47,0.74,45.347,157.61,0.144,,0.66,1.00,0.63,17,0,0*71
$PUBX,00,144057.70,4218.27047,N,08300.29248,W,158.070,D3,0.47,0.74,44.808,157.22,0.204,,0.66,1.00,0.63,17,0,0*7E
$PUBX,00,144057.76,4218.27012,N,08300.29227,W,158.039,D3,0.47,0.74,44.770,157.06,0.208,,0.66,1.00,0.63,17,0,0*76
$PUBX,00,144057.82,4218.26979,N,08300.29207,W,157.999,D3,0.47,0.74,44.214,156.74,0.217,,0.66,1.00,0.63,17,0,0*7B
$PUBX,00,144057.87,4218.26945,N,08300.29186,W,157.971,D3,0.47,0.74,43.998,156.20,0.215,,0.66,1.00,0.63,17,0,0*76
$PUBX,00,144057.93,4218.26911,N,08300.29163,W,157.923,D3,0.47,0.74,44.521,155.23,0.232,,0.66,1.00,0.63,17,0,0*72
$PUBX,00,144057.98,4218.26877,N,08300.29141,W,157.928,D3,0.47,0.74,44.674,154.93,0.213,,0.66,1.00,0.63,17,0,0*79
$PUBX,00,144058.04,4218.26842,N,08300.29119,W,157.934,D3,0.47,0.74,45.155,154.72,0.195,,0.66,1.00,0.63,17,0,0*72
$PUBX,00,144058.10,4218.26808,N,08300.29095,W,157.939,D3,0.47,0.74,45.389,153.98,0.173,,0.66,1.00,0.63,17,0,0*79
$PUBX,00,144058.15,4218.26773,N,08300.29074,W,157.925,D3,0.47,0.74,45.166,154.96,0.166,,0.66,1.00,0.63,17,0,0*73
$PUBX,00,144058.26,4218.26706,N,08300.29031,W,157.907,D3,0.47,0.74,44.335,154.36,0.159,,0.66,1.00,0.63,17,0,0*73
$PUBX,00,144058.32,4218.26671,N,08300.29007,W,157.897,D3,0.47,0.74,45.048,154.15,0.155,,0.66,1.00,0.63,17,0,0*7F
$PUBX,00,144058.38,4218.26635,N,08300.28985,W,157.925,D3,0.47,0.74,45.502,154.44,0.114,,0.68,1.02,0.65,17,0,0*7F
$PUBX,00,144058.43,4218.26601,N,08300.28961,W,157.898,D3,0.47,0.74,45.235,154.21,0.117,,0.68,1.02,0.65,17,0,0*7A
$PUBX,00,144058.49,4218.26566,N,08300.28940,W,157.863,D3,0.47,0.74,44.680,154.97,0.128,,0.68,1.02,0.65,17,0,0*7F
$PUBX,00,144058.54,4218.26532,N,08300.28918,W,157.866,D3,0.46,0.74,44.691,154.60,0.115,,0.68,1.02,0.65,17,0,0*7D
$PUBX,00,144058.60,4218.26498,N,08300.28895,W,157.884,D3,0.46,0.74,44.856,153.60,0.089,,0.68,1.02,0.65,17,0,0*75
$PUBX,00,144058.66,4218.26463,N,08300.28873,W,157.889,D3,0.46,0.74,44.838,154.22,0.072,,0.68,1.02,0.65,17,0,0*7F
$PUBX,00,144058.71,4218.26428,N,08300.28850,W,157.864,D3,0.46,0.74,44.974,154.32,0.079,,0.68,1.02,0.65,17,0,0*77
