time,rw,rx,ry,rz,ax,ay,az,gx,gy,gz,GPSTime,lat,latDir,long,longDir,gpsSpeed,gpsCount
70006430.0,0.2,-0.03,-0.08,-0.98,-0.16,0.37,0.14,-0.5,-0.19,-1.62,2426.5,0.0,N,0.0,E,0.0,0.0
70029667.0,0.2,-0.03,-0.08,-0.98,-0.55,0.23,-0.32,-0.31,-0.56,-1.69,2426.5,0.0,N,0.0,E,0.0,0.0
70056466.0,0.2,-0.03,-0.08,-0.98,-0.53,-0.23,-0.28,-0.31,-0.62,-1.5,2426.5,0.0,N,0.0,E,0.0,0.0
70082771.0,0.2,-0.03,-0.08,-0.98,-0.27,0.35,-0.35,-0.25,-0.69,-1.56,2426.5,0.0,N,0.0,E,0.0,0.0
70102543.0,0.2,-0.03,-0.08,-0.98,-0.27,0.35,-0.35,-0.25,-0.69,-1.56,2426.6,0.0,N,0.0,E,0.0,0.0
70129184.0,0.2,-0.03,-0.08,-0.98,-0.75,0.19,-0.2,0.06,-1.06,-1.62,2426.6,0.0,N,0.0,E,0.0,0.0
70154758.0,0.2,-0.03,-0.08,-0.98,-0.44,0.23,0.11,-0.06,-1.0,-1.56,2426.6,0.0,N,0.0,E,0.0,0.0
70179822.0,0.2,-0.03,-0.08,-0.98,-0.2,0.25,0.18,-0.06,-1.0,-1.81,2426.6,0.0,N,0.0,E,0.0,0.0
70199523.0,0.2,-0.03,-0.08,-0.98,-0.2,0.25,0.18,-0.06,-1.0,-1.81,2426.7,0.0,N,0.0,E,0.0,0.0
70224813.0,0.2,-0.03,-0.08,-0.98,-0.52,-0.27,-0.12,-0.06,-0.62,-1.75,2426.7,0.0,N,0.0,E,0.0,0.0
70249496.0,0.2,-0.03,-0.08,-0.98,-0.51,0.31,-0.31,-0.19,-1.19,-1.44,2426.7,0.0,N,0.0,E,0.0,0.0
70275308.0,0.2,-0.03,-0.08,-0.98,-0.24,0.38,0.37,-0.13,-1.56,-1.31,2426.7,0.0,N,0.0,E,0.0,0.0
70302976.0,0.2,-0.03,-0.08,-0.98,-0.24,0.38,0.37,-0.13,-1.56,-1.31,2426.8,0.0,N,0.0,E,0.0,0.0
70329297.0,0.2,-0.03,-0.08,-0.98,-0.06,0.16,-0.35,-0.37,-1.37,-0.5,2426.8,0.0,N,0.0,E,0.0,0.0
70362916.0,0.2,-0.03,-0.08,-0.98,0.8,0.15,-0.43,-0.37,-1.75,0.25,2426.8,0.0,N,0.0,E,0.0,0.0
70386697.0,0.2,-0.03,-0.08,-0.98,0.39,0.17,0.06,-0.44,-1.56,0.81,2426.8,0.0,N,0.0,E,0.0,0.0
